mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,195,Liberty St & Broadway,58773,29403,29370,58773,40.70905623,-74.01043382,2019,2019,1,7,4,12,9,lifetime_aggregate,1248,2123.42402123424,1
nyc,195.0,Liberty St & Broadway,35199,17588,17611,35199,40.70905623,-74.01043382,2019,2019,1,5,1,8,8,lifetime_aggregate,1248,3545.5552714565756,1
nyc,1964.01,101 St & Fort Hamilton Pkwy,88,40,48,88,40.61124,-74.03282,2025,2025,1,2,11,12,2,lifetime_aggregate,232,263636.36363636365,1
nyc,2000,Front St & Washington St,43323,21410,21913,43323,40.70255088,-73.98940236,2019,2019,1,7,4,12,9,lifetime_aggregate,1014,2340.5581330932764,1
nyc,2000.0,Front St & Washington St,29147,14347,14800,29147,40.70255088,-73.98940236,2019,2019,1,5,1,8,8,lifetime_aggregate,1014,3478.917212749168,1
nyc,2002,Wythe Ave & Metropolitan Ave,48550,24021,24529,48550,40.716887,-73.963198,2019,2019,1,7,4,12,9,lifetime_aggregate,803,1653.9649845520082,1
nyc,2002.0,Wythe Ave & Metropolitan Ave,30318,14993,15325,30318,40.716887,-73.963198,2019,2019,1,5,1,8,8,lifetime_aggregate,803,2648.5915957516986,1
nyc,2003,1 Ave & E 18 St,74866,38138,36728,74866,40.73381219196632,-73.98054420948029,2019,2019,1,7,4,12,9,lifetime_aggregate,1083,1446.5845644217668,1
nyc,2003.0,1 Ave & E 18 St,46281,23227,23054,46281,40.73381219196632,-73.98054420948029,2019,2019,1,5,1,8,8,lifetime_aggregate,1083,2340.0531535619366,1
nyc,2005,Railroad Ave & Kay Ave,1391,654,737,1391,40.70531194,-73.97100056,2019,2019,1,7,4,12,9,lifetime_aggregate,126,9058.23148813803,1
nyc,2005.0,Railroad Ave & Kay Ave,825,400,425,825,40.70531194,-73.97100056,2019,2019,1,5,1,8,8,lifetime_aggregate,126,15272.727272727274,1
nyc,2006,Central Park S & 6 Ave,94249,47665,46584,94249,40.76590941909567,-73.97634154567989,2019,2019,1,7,4,12,9,lifetime_aggregate,1165,1236.0873855425523,1
nyc,2006.0,Central Park S & 6 Ave,55313,27922,27391,55313,40.76590936,-73.97634151,2019,2019,1,5,1,8,8,lifetime_aggregate,1165,2106.195650208812,1
