mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,2240.06,Shore Rd & Oliver St,119,52,67,119,40.61919,-74.0402,2025,2025,1,2,11,12,2,lifetime_aggregate,119,100000.0,1
nyc,2261.04,5 Ave & 88 St,535,259,276,535,40.62021,-74.02717,2025,2025,1,3,10,12,3,lifetime_aggregate,884,165233.6448598131,1
nyc,228,E 48 St & 3 Ave,58861,29780,29081,58861,40.7546011026,-73.971878855,2019,2019,1,12,1,12,12,lifetime_aggregate,1789,3039.3639251796603,1
nyc,229,Great Jones St,156524,76523,80001,156524,40.72743423,-73.99379025,2019,2019,1,12,1,12,12,lifetime_aggregate,1352,863.765301167872,1
nyc,2303.05,4 Ave & 87 St,360,176,184,360,40.62184,-74.02863,2025,2025,1,2,11,12,2,lifetime_aggregate,730,202777.77777777778,1
nyc,2312.02,Colonial Rd & 89 St,469,230,239,469,40.62254,-74.03726,2025,2025,1,3,10,12,3,lifetime_aggregate,213,45415.77825159915,1
nyc,232,Cadman Plaza E & Tillary St,1,0,1,1,40.69597683,-73.99014892,2019,2019,1,1,1,1,1,lifetime_aggregate,1402,140200000.0,1
nyc,2335.08,Fort Hamilton Pkwy & 85 St,380,185,195,380,40.62095,-74.02387999999999,2025,2025,1,2,11,12,2,lifetime_aggregate,797,209736.84210526317,1
nyc,2345.04,Ridge Blvd & 89 St,260,126,134,260,40.62194,-74.03477,2025,2025,1,2,11,12,2,lifetime_aggregate,329,126538.46153846153,1
nyc,2345.05,89 St & 3 Ave,105,48,57,105,40.62137,-74.03209,2025,2025,1,2,11,12,2,lifetime_aggregate,594,565714.2857142858,1
nyc,236,St Marks Pl & 2 Ave,117452,58046,59406,117452,40.7284186,-73.98713956,2019,2019,1,12,1,12,12,lifetime_aggregate,1120,953.5810373599428,1
nyc,237,E 11 St & 2 Ave,114224,56688,57536,114224,40.73047309,-73.98672378,2019,2019,1,12,1,12,12,lifetime_aggregate,1258,1101.3447261521221,1
nyc,2377.01,4 Ave & 85 St,716,347,369,716,40.62354,-74.02817,2025,2025,1,2,11,12,2,lifetime_aggregate,668,93296.08938547486,1
nyc,238,Bank St & Washington St,73163,36510,36653,73163,40.7361967,-74.00859207,2019,2019,1,12,1,12,12,lifetime_aggregate,609,832.3879556606481,1
nyc,2387.07,86 St & Ridge Blvd,523,258,265,523,40.62402,-74.03396,2025,2025,1,3,10,12,3,lifetime_aggregate,308,58891.013384321224,1
nyc,239,Willoughby St & Fleet St,53996,27729,26267,53996,40.69196566,-73.9813018,2019,2019,1,12,1,12,12,lifetime_aggregate,1523,2820.5793021705313,1
nyc,241,DeKalb Ave & S Portland Ave,34075,17264,16811,34075,40.68981035,-73.97493121,2019,2019,1,12,1,12,12,lifetime_aggregate,928,2723.404255319149,1
nyc,2419.03,84 St & 3 Ave,285,140,145,285,40.62503,-74.03059,2025,2025,1,3,10,12,3,lifetime_aggregate,479,168070.1754385965,1
nyc,242,Carlton Ave & Flushing Ave,25567,12211,13356,25567,40.697787,-73.973736,2019,2019,1,12,1,12,12,lifetime_aggregate,639,2499.31552391755,1
nyc,243,Fulton St & Rockwell Pl,27766,13140,14626,27766,40.68834866666666,-73.97943266666665,2019,2019,1,12,1,12,12,lifetime_aggregate,1773,6385.507455160988,1
nyc,244,Willoughby Ave & Hall St,34591,17913,16678,34591,40.69196035,-73.96536851,2019,2019,1,12,1,12,12,lifetime_aggregate,820,2370.5588158769624,1
nyc,245,Myrtle Ave & St Edwards St,18917,9643,9274,18917,40.69327018,-73.97703874,2019,2019,1,12,1,12,12,lifetime_aggregate,1041,5502.986731511339,1
nyc,2453.05,4 Ave & 81 St,417,197,220,417,40.62643,-74.02707,2025,2025,1,3,10,12,3,lifetime_aggregate,557,133573.14148681055,1
nyc,2463.04,Ridge Blvd & 82 St,213,97,116,213,40.62711,-74.0326,2025,2025,1,3,10,12,3,lifetime_aggregate,282,132394.3661971831,1
nyc,247,Perry St & Bleecker St,73180,36524,36656,73180,40.73535398,-74.00483091,2019,2019,1,12,1,12,12,lifetime_aggregate,1019,1392.4569554523093,1
nyc,2472.02,Shore Rd & 86 St,106,51,55,106,40.625609999999995,-74.04079,2025,2025,1,2,11,12,2,lifetime_aggregate,124,116981.13207547169,1
nyc,248,Laight St & Hudson St,24321,12097,12224,24321,40.72185379,-74.00771779,2019,2019,1,12,1,12,12,lifetime_aggregate,1443,5933.144196373504,1
nyc,2488.09,6 Ave & 78 St,584,286,298,584,40.62569,-74.02119,2025,2025,1,3,10,12,3,lifetime_aggregate,630,107876.71232876713,1
nyc,249,Harrison St & Hudson St,37917,18959,18958,37917,40.71870987,-74.0090009,2019,2019,1,12,1,12,12,lifetime_aggregate,1200,3164.807342353034,1
nyc,2497.07,3 Ave & 81 St,709,340,369,709,40.627,-74.02948000000002,2025,2025,1,3,10,12,3,lifetime_aggregate,448,63187.588152327226,1
nyc,250,Lafayette St & Jersey St,47617,23898,23719,47617,40.72456089,-73.99565293,2019,2019,1,5,8,12,5,lifetime_aggregate,1802,3784.3627275972867,1
nyc,2506.10,83 St & Narrows Ave,496,244,252,496,40.62757,-74.03838,2025,2025,1,3,10,12,3,lifetime_aggregate,140,28225.806451612905,1
nyc,2506.11,Colonial Rd & 83 St,628,310,318,628,40.62691,-74.03564,2025,2025,1,3,10,12,3,lifetime_aggregate,212,33757.96178343949,1
nyc,251,Mott St & Prince St,110431,55012,55419,110431,40.72317949394324,-73.99480013458232,2019,2019,1,12,1,12,12,lifetime_aggregate,1939,1755.8475428095371,1
