mode,start_station_id,start_station_name,year,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,months_covered,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available,data_quality
nyc,7800.03,Amsterdam Ave & W 125 St,2023,26112,13072,13040,26112,40.813358,-73.956461,12,34,130.20833333333331,1,yearly
nyc,7803.02,E 138 St & Park Ave,2023,12462,6221,6241,12462,40.81263616764995,-73.92924964437121,12,3,24.073182474723158,1,yearly
nyc,7803.08,E 138 St & Grand Concourse,2023,5624,2793,2831,5624,40.813224,-73.930605,12,23,408.9615931721195,1,yearly
nyc,7807.04,Beck St & Leggett Ave,2023,9639,4774,4865,9639,40.815077,-73.899939,12,6,62.247121070650486,1,yearly
nyc,7809.13,E 138 St & 5 Av,2023,12651,6259,6392,12651,40.81449,-73.936153,10,13,102.75867520354123,1,yearly
nyc,7809.13,E 138 St & 5 Ave,2023,3550,1776,1774,3550,40.81449,-73.936153,3,13,366.19718309859155,1,yearly
nyc,7812.01,E 149 St & Jackson Ave,2023,13499,6703,6796,13499,40.813135,-73.909235,12,12,88.89547373879547,1,yearly
nyc,7814.01,Adam Clayton Powell Blvd & W 132 St,2023,22965,11454,11511,22965,40.813539,-73.94521,12,25,108.8613106901807,1,yearly
nyc,7816.14,Brook Ave & E 148 St,2023,8412,4183,4229,8412,40.814383,-73.915368,12,12,142.65335235378032,1,yearly
nyc,7818.17,W 129 St & Convent Ave,2023,16634,8281,8353,16634,40.814394437683724,-73.95324736814051,12,4,24.04713237946375,1,yearly
nyc,7820.05,Hunts Point Ave & Bryant Ave,2023,4633,2314,2319,4633,40.813991,-73.8855,12,5,107.92143319663286,1,yearly
nyc,7821.01,Morris Ave & E 142 St,2023,13275,6593,6682,13275,40.814469,-73.924963,12,4,30.131826741996232,1,yearly
nyc,7823.03,Broadway & Moylan Pl,2023,27698,13813,13885,27698,40.814325600423835,-73.95902550052979,12,13,46.93479673622644,1,yearly
nyc,7830.03,Prospect Ave & E 151 St,2023,8193,4070,4123,8193,40.814232,-73.903927,12,3,36.61662394727206,1,yearly
nyc,7832.04,W 135 St & Lenox Terrace Pl,2023,19849,9863,9986,19849,40.813619,-73.939336,12,2,10.076074361428788,1,yearly
nyc,7835.1,St Ann's Ave & Westchester Ave,2023,3363,2455,908,3363,40.815887,-73.911918,11,15,446.03033006244425,1,yearly
nyc,7835.10,St Ann's Ave & Westchester Ave,2023,6084,2238,3846,6084,40.815887,-73.911918,12,15,246.5483234714004,1,yearly
nyc,7837.3,St Nicholas Ave & W 134 St,2023,9734,6836,2898,9734,40.816234,-73.948222,11,9,92.45942058763099,1,yearly
nyc,7837.30,St Nicholas Ave & W 134 St,2023,18942,7450,11492,18942,40.816234,-73.948222,12,9,47.513462147608486,1,yearly
nyc,7840.05,Courtlandt Ave & E 149 St,2023,12098,6070,6028,12098,40.816402,-73.919549,12,41,338.89899156885434,1,yearly
