mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available
nyc,2118.13,Fort Hamilton Pkwy & 95 St,52,22,30,52,40.61466,-74.02946,2025,2025,1,2,11,12,2,lifetime_aggregate,6,11538.461538461539,1
nyc,212,W 16 St & The High Line,111494,54982,56512,111494,40.743349343140316,-74.0068175335829,2019,2019,1,12,1,12,12,lifetime_aggregate,48,43.051644034656576,1
nyc,2127.03,Shore Rd & 97 St,101,45,56,101,40.61529,-74.03779,2025,2025,1,2,11,12,2,lifetime_aggregate,9,8910.89108910891,1
nyc,2158.08,4 Ave & 94 St,241,110,131,241,40.61689,-74.03091,2025,2025,1,2,11,12,2,lifetime_aggregate,36,14937.759336099585,1
nyc,216,Columbia Heights & Cranberry St,17478,8993,8485,17478,40.70037867,-73.99548059,2019,2019,1,12,1,12,12,lifetime_aggregate,202,1155.7386428653165,1
nyc,217,Old Fulton St,77806,36373,41433,77806,40.70277159,-73.99383605,2019,2019,1,12,1,12,12,lifetime_aggregate,42,53.980412821633294,1
nyc,2190.08,Fort Hamilton Pkwy & 92 St,138,61,77,138,40.61717,-74.02744,2025,2025,1,2,11,12,2,lifetime_aggregate,59,42753.6231884058,1
nyc,2200.07,96 St & Marine Ave,224,105,119,224,40.61699,-74.03568,2025,2025,1,2,11,12,2,lifetime_aggregate,8,3571.428571428571,1
nyc,223,W 13 St & 7 Ave,117401,58476,58925,117401,40.73781509,-73.99994661,2019,2019,1,12,1,12,12,lifetime_aggregate,79,67.29073857973952,1
nyc,2231.10,3 Ave & 92 St,268,128,140,268,40.61946,-74.03261,2025,2025,1,2,11,12,2,lifetime_aggregate,45,16791.044776119405,1
nyc,224,Spruce St & Nassau St,51174,25635,25539,51174,40.71146364,-74.00552427,2019,2019,1,12,1,12,12,lifetime_aggregate,73,142.650564739907,1
nyc,2240.06,Shore Rd & Oliver St,119,52,67,119,40.61919,-74.0402,2025,2025,1,2,11,12,2,lifetime_aggregate,11,9243.697478991597,1
nyc,2261.04,5 Ave & 88 St,535,259,276,535,40.62021,-74.02717,2025,2025,1,3,10,12,3,lifetime_aggregate,32,5981.308411214954,1
nyc,228,E 48 St & 3 Ave,58861,29780,29081,58861,40.7546011026,-73.971878855,2019,2019,1,12,1,12,12,lifetime_aggregate,97,164.79502556871273,1
nyc,229,Great Jones St,156524,76523,80001,156524,40.72743423,-73.99379025,2019,2019,1,12,1,12,12,lifetime_aggregate,64,40.888298280135956,1
nyc,2303.05,4 Ave & 87 St,360,176,184,360,40.62184,-74.02863,2025,2025,1,2,11,12,2,lifetime_aggregate,46,12777.777777777777,1
nyc,2312.02,Colonial Rd & 89 St,469,230,239,469,40.62254,-74.03726,2025,2025,1,3,10,12,3,lifetime_aggregate,11,2345.4157782515995,1
nyc,232,Cadman Plaza E & Tillary St,1,0,1,1,40.69597683,-73.99014892,2019,2019,1,1,1,1,1,lifetime_aggregate,23,2300000.0,1
nyc,2335.08,Fort Hamilton Pkwy & 85 St,380,185,195,380,40.62095,-74.02387999999999,2025,2025,1,2,11,12,2,lifetime_aggregate,48,12631.578947368422,1
nyc,2345.04,Ridge Blvd & 89 St,260,126,134,260,40.62194,-74.03477,2025,2025,1,2,11,12,2,lifetime_aggregate,13,5000.0,1
nyc,2345.05,89 St & 3 Ave,105,48,57,105,40.62137,-74.03209,2025,2025,1,2,11,12,2,lifetime_aggregate,30,28571.42857142857,1
nyc,236,St Marks Pl & 2 Ave,117452,58046,59406,117452,40.7284186,-73.98713956,2019,2019,1,12,1,12,12,lifetime_aggregate,80,68.11293123999592,1
nyc,237,E 11 St & 2 Ave,114224,56688,57536,114224,40.73047309,-73.98672378,2019,2019,1,12,1,12,12,lifetime_aggregate,71,62.15856562543774,1
