mode,year,month,start_station_id,start_station_name,start_trips,end_trips,station_lat,station_lng,touchpoints,trips
nyc,2019,1,275,Washington Ave & Greene Ave,656,631,40.68650065,-73.96563307,1287,1287
nyc,2019,1,276,Duane St & Greenwich St,1053,1069,40.71748752,-74.0104554,2122,2122
nyc,2019,1,278,Concord St & Bridge St,399,361,40.69766564,-73.98476437,760,760
nyc,2019,1,279,Peck Slip & Front St,1425,1442,40.707873,-74.00167,2867,2867
nyc,2019,1,280,E 10 St & 5 Ave,1653,1672,40.73331966999999,-73.99510132,3325,3325
nyc,2019,1,281,Grand Army Plaza & Central Park S,2677,2355,40.7643971,-73.97371465,5032,5032
nyc,2019,1,282,Kent Ave & S 11 St,786,824,40.707644944175705,-73.96841526031494,1610,1610
nyc,2019,1,285,Broadway & E 14 St,5300,5378,40.73454567,-73.99074142,10678,10678
nyc,2019,1,289,Monroe St & Classon Ave,465,361,40.6845683,-73.95881081,826,826
nyc,2019,1,291,Madison St & Montgomery St,1069,1077,40.713126,-73.984844,2146,2146
nyc,2019,1,293,Lafayette St & E 8 St,4719,4874,40.73020660529954,-73.99102628231049,9593,9593
nyc,2019,1,295,Pike St & E Broadway,1620,1604,40.71406667,-73.99293911,3224,3224
nyc,2019,1,296,Division St & Bowery,1907,1905,40.71413089,-73.9970468,3812,3812
nyc,2019,1,297,E 15 St & 3 Ave,3803,3804,40.734232,-73.986923,7607,7607
nyc,2019,1,298,3 Ave & Schermerhorn St,859,950,40.68683208,-73.9796772,1809,1809
nyc,2019,1,3002,South End Ave & Liberty St,3199,3194,40.711512,-74.015756,6393,6393
nyc,2019,1,301,E 2 St & Avenue B,2127,2525,40.72217444,-73.98368779,4652,4652
nyc,2019,1,3016,Kent Ave & N 7 St,1487,1707,40.72036775298455,-73.96165072917938,3194,3194
nyc,2019,1,302,Avenue D & E 3 St,1768,1779,40.72082834,-73.97793172,3547,3547
nyc,2019,1,303,Mercer St & Spring St,1733,1736,40.72362738,-73.99949601,3469,3469
nyc,2019,1,304,Broadway & Battery Pl,2139,2898,40.70463334,-74.01361706,5037,5037
nyc,2019,1,3041,Kingston Ave & Herkimer St,250,254,40.67890679,-73.94142771,504,504
nyc,2019,1,3042,Fulton St & Utica Ave,296,294,40.6794268,-73.9298911,590,590
nyc,2019,1,3043,Lewis Ave & Decatur St,185,170,40.6814598,-73.934903,355,355
nyc,2019,1,3044,Albany Ave & Fulton St,138,124,40.6800105,-73.938475,262,262
nyc,2019,1,3046,Marcus Garvey Blvd & Macon St,317,302,40.682601,-73.938037,619,619
nyc,2019,1,3047,Halsey St & Tompkins Ave,403,377,40.6823687,-73.944118,780,780
nyc,2019,1,3048,Putnam Ave & Nostrand Ave,248,230,40.68402,-73.94977,478,478
nyc,2019,1,3049,Cambridge Pl & Gates Ave,512,495,40.68488,-73.96304,1007,1007
nyc,2019,1,305,E 58 St & 3 Ave,2479,2480,40.76095756,-73.96724467,4959,4959
nyc,2019,1,3050,Putnam Ave & Throop Ave,397,379,40.6851532,-73.94111,776,776
nyc,2019,1,3052,Lewis Ave & Madison St,398,384,40.686312,-73.935775,782,782
nyc,2019,1,3053,Marcy Ave & Lafayette Ave,200,171,40.6900815,-73.947915,371,371
nyc,2019,1,3054,Greene Ave & Throop Ave,306,253,40.6894932,-73.942061,559,559
nyc,2019,1,3055,Greene Ave & Nostrand Ave,337,307,40.6883337,-73.950916,644,644
nyc,2019,1,3056,Kosciuszko St & Nostrand Ave,311,291,40.69072549,-73.95133465,602,602
nyc,2019,1,3057,Kosciuszko St & Tompkins Ave,466,459,40.69128258,-73.9452416,925,925
nyc,2019,1,3058,Lewis Ave & Kosciuszko St,345,327,40.69237074,-73.93705428,672,672
nyc,2019,1,3059,Pulaski St & Marcus Garvey Blvd,226,224,40.6933982,-73.939877,450,450
nyc,2019,1,3060,Willoughby Ave & Tompkins Ave,225,229,40.69425403,-73.94626915,454,454
nyc,2019,1,3061,Throop Ave & Myrtle Ave,163,128,40.69622937,-73.94371094,291,291
nyc,2019,1,3062,Myrtle Ave & Marcy Ave,380,402,40.69539817,-73.94954908,782,782
nyc,2019,1,3063,Nostrand Ave & Myrtle Ave,173,183,40.69527008,-73.95238108,356,356
nyc,2019,1,3064,Myrtle Ave & Lewis Ave,706,712,40.69681963,-73.93756926,1418,1418
nyc,2019,1,3065,Union Ave & Wallabout St,189,188,40.70029511,-73.95032283,377,377
nyc,2019,1,3066,Tompkins Ave & Hopkins St,293,288,40.69957608,-73.94708417,581,581
nyc,2019,1,3067,Broadway & Whipple St,464,484,40.7016657,-73.9437303,948,948
nyc,2019,1,3068,Humboldt St & Varet St,319,354,40.7031724,-73.940636,673,673
nyc,2019,1,3069,Lorimer St & Broadway,187,245,40.70411791,-73.94818595,432,432
nyc,2019,1,307,Canal St & Rutgers St,3161,3144,40.71427487,-73.98990025,6305,6305
nyc,2019,1,3070,McKibbin St & Manhattan Ave,209,198,40.70510918,-73.94407279,407,407
nyc,2019,1,3071,Boerum St & Broadway,319,313,40.70538077,-73.94976519,632,632
nyc,2019,1,3072,Leonard St & Boerum St,272,278,40.70583339,-73.94644578,550,550
nyc,2019,1,3074,Montrose Ave & Bushwick Ave,570,564,40.70767788,-73.94016171,1134,1134
nyc,2019,1,3075,Division Ave & Marcy Ave,200,150,40.70708701,-73.95796783,350,350
nyc,2019,1,3076,Scholes St & Manhattan Ave,479,456,40.70870368,-73.9448625,935,935
nyc,2019,1,3077,Stagg St & Union Ave,846,771,40.70877084,-73.95095259,1617,1617
nyc,2019,1,3078,Broadway & Roebling St,924,876,40.70924826276157,-73.96063148975372,1800,1800
nyc,2019,1,308,St James Pl & Oliver St,1345,1345,40.71307916,-73.99851193,2690,2690
nyc,2019,1,3080,S 4 St & Rodney St,670,650,40.70934,-73.95608,1320,1320
nyc,2019,1,3081,Graham Ave & Grand St,562,523,40.711863,-73.944024,1085,1085
nyc,2019,1,3082,Hope St & Union Ave,747,747,40.71167351,-73.95141312,1494,1494
nyc,2019,1,3083,Bushwick Ave & Powers St,459,419,40.71247661,-73.94100005,878,878
nyc,2019,1,3085,Roebling St & N 4 St,531,573,40.71469,-73.95739,1104,1104
nyc,2019,1,3086,Graham Ave & Conselyea St,1237,1232,40.715143,-73.944507,2469,2469
nyc,2019,1,3087,Metropolitan Ave & Meeker Ave,738,767,40.71413311,-73.95234386,1505,1505
nyc,2019,1,3088,Union Ave & Jackson St,335,340,40.7160751,-73.952029,675,675
nyc,2019,1,309,Murray St & West St,1595,1737,40.7149787,-74.013012,3332,3332
nyc,2019,1,3091,Frost St & Meeker St,249,241,40.71764,-73.94882,490,490
nyc,2019,1,3092,Berry St & N 8 St,1516,1525,40.7190095,-73.95852515,3041,3041
nyc,2019,1,3093,N 6 St & Bedford Ave,2393,2373,40.71745169,-73.95850939,4766,4766
nyc,2019,1,3094,Graham Ave & Withers St,497,476,40.7169811,-73.94485918,973,973
nyc,2019,1,3095,Graham Ave & Herbert St,329,320,40.71929301,-73.94500379,649,649
nyc,2019,1,3096,Union Ave & N 12 St,690,754,40.71924,-73.95242,1444,1444
nyc,2019,1,310,State St & Smith St,942,977,40.68926942,-73.98912867,1919,1919
nyc,2019,1,3100,Nassau Ave & Newell St,778,756,40.724812564400175,-73.94752621650696,1534,1534
nyc,2019,1,3101,N 12 St & Bedford Ave,813,804,40.72079821,-73.95484712,1617,1617
nyc,2019,1,3102,Driggs Ave & Lorimer St,563,553,40.72179134,-73.9504154,1116,1116
nyc,2019,1,3105,N 15 St & Wythe Ave,398,399,40.724055,-73.955736,797,797
nyc,2019,1,3106,Driggs Ave & N Henry St,974,956,40.72325,-73.94308,1930,1930
nyc,2019,1,3107,Bedford Ave & Nassau Ave,1196,1277,40.72311651,-73.95212324,2473,2473
nyc,2019,1,3108,Nassau Ave & Russell St,1149,1069,40.72557,-73.94434,2218,2218
nyc,2019,1,3109,Banker St & Meserole Ave,794,832,40.72606,-73.95621,1626,1626
nyc,2019,1,311,Norfolk St & Broome St,2078,2099,40.7172274,-73.98802084,4177,4177
nyc,2019,1,3110,Meserole Ave & Manhattan Ave,1218,1210,40.72708584,-73.95299117,2428,2428
nyc,2019,1,3112,Milton St & Franklin St,1333,1343,40.72906,-73.95779,2676,2676
nyc,2019,1,3113,Greenpoint Ave & Manhattan Ave,1052,1045,40.73026,-73.95394,2097,2097
nyc,2019,1,3115,India St & Manhattan Ave,815,812,40.73232194,-73.9550858,1627,1627
nyc,2019,1,3116,Huron St & Franklin St,877,867,40.73266,-73.95826,1744,1744
nyc,2019,1,3117,Franklin St & Dupont St,573,547,40.73564,-73.95866,1120,1120
nyc,2019,1,3118,McGuinness Blvd & Eagle St,814,818,40.73555,-73.95284,1632,1632
nyc,2019,1,3119,Vernon Blvd & 50 Ave,1278,1264,40.74232744,-73.95411749,2542,2542
nyc,2019,1,312,Allen St & Stanton St,3309,3276,40.722055000000005,-73.989111,6585,6585
nyc,2019,1,3121,Jackson Ave & 46 Rd,295,303,40.74524768,-73.94733276,598,598
nyc,2019,1,3122,48 Ave & 5 St,220,204,40.74436328706688,-73.9558732509613,424,424
nyc,2019,1,3123,31 St & Thomson Ave,239,255,40.74469738,-73.93540375,494,494
nyc,2019,1,3124,46 Ave & 5 St,914,929,40.74731,-73.95451,1843,1843
nyc,2019,1,3125,45 Rd & 11 St,635,647,40.74708586,-73.94977234,1282,1282
nyc,2019,1,3126,44 Dr & Jackson Ave,636,613,40.74718234,-73.9432635,1249,1249
nyc,2019,1,3127,9 St & 44 Rd,194,212,40.74966,-73.9521,406,406
nyc,2019,1,3128,21 St & 43 Ave,184,190,40.75052534,-73.94594845,374,374
nyc,2019,1,3129,Queens Plaza North & Crescent St,1021,1039,40.75110165,-73.94073717,2060,2060
nyc,2019,1,313,Washington Ave & Park Ave,724,803,40.69610226,-73.96751037,1527,1527
nyc,2019,1,3130,21 St & Queens Plaza North,441,448,40.75325964,-73.94335787999998,889,889
nyc,2019,1,3131,E 68 St & 3 Ave,762,769,40.76712840349542,-73.96224617958069,1531,1531
nyc,2019,1,3132,E 59 St & Madison Ave,1466,1473,40.76350532,-73.97109243,2939,2939
nyc,2019,1,3134,3 Ave & E 62 St,1150,1148,40.76312584,-73.96526895,2298,2298
nyc,2019,1,3135,E 75 St & 3 Ave,1050,1051,40.77112927,-73.95772297,2101,2101
nyc,2019,1,3136,5 Ave & E 63 St,968,968,40.766368,-73.971518,1936,1936
nyc,2019,1,3137,5 Ave & E 73 St,1746,1762,40.77282817,-73.96685276,3508,3508
nyc,2019,1,3139,E 72 St & Park Ave,840,849,40.77118287540658,-73.96409422159195,1689,1689
nyc,2019,1,314,Cadman Plaza West & Montague St,1415,1249,40.69383,-73.990539,2664,2664
nyc,2019,1,3140,1 Ave & E 78 St,2725,2777,40.77140426,-73.9535166,5502,5502
nyc,2019,1,3141,1 Ave & E 68 St,3642,3664,40.76500525,-73.95818491,7306,7306
nyc,2019,1,3142,1 Ave & E 62 St,2439,2461,40.7612274,-73.96094022,4900,4900
nyc,2019,1,3143,5 Ave & E 78 St,1571,1555,40.77632142182271,-73.96427392959595,3126,3126
nyc,2019,1,3144,E 81 St & Park Ave,377,381,40.77677702,-73.9590097,758,758
nyc,2019,1,3145,E 84 St & Park Ave,816,795,40.778626880000004,-73.95772073,1611,1611
nyc,2019,1,3146,E 81 St & 3 Ave,912,902,40.77573034,-73.95675260000002,1814,1814
nyc,2019,1,3147,E 85 St & 3 Ave,2289,2306,40.77801203,-73.95407149,4595,4595
nyc,2019,1,3148,E 84 St & 1 Ave,1175,1190,40.77565541,-73.95068615,2365,2365
nyc,2019,1,315,South St & Gouverneur Ln,1613,1668,40.70355377,-74.00670227,3281,3281
nyc,2019,1,3150,E 85 St & York Ave,838,847,40.77536905,-73.94803392,1685,1685
nyc,2019,1,3151,E 81 St & York Ave,1135,1153,40.7728384,-73.94989233,2288,2288
nyc,2019,1,3152,3 Ave & E 71 St,476,481,40.76873687,-73.96119945,957,957
nyc,2019,1,3153,E 71 St & 2 Ave,332,337,40.76817546742245,-73.95910263061523,669,669
nyc,2019,1,3154,E 77 St & 3 Ave,1023,1028,40.77314236,-73.95856158,2051,2051
nyc,2019,1,3155,Lexington Ave & E 63 St,1513,1452,40.76440023,-73.96648977,2965,2965
nyc,2019,1,3156,E 72 St & York Ave,2007,2033,40.76663814,-73.95348296000002,4040,4040
