mode,start_station_id,start_station_name,year,month,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available,data_quality
nyc,7014.12,Broadway & W 61 St,2025,5,13879,6963,6916,13879,40.77003010255044,-73.9819684624672,22,158.51286115714387,1,year_month
nyc,7018.01,31 St & Hoyt Ave N,2025,5,2567,1274,1293,2567,40.7711528,-73.9170074,19,740.1636151149202,1,year_month
nyc,7020.02,E 77 St & 1 Ave,2025,5,14752,7378,7374,14752,40.770955538692355,-73.95356208096926,19,128.79609544468548,1,year_month
nyc,7023.04,W 59 St & 10 Ave,2025,5,11511,5825,5686,11511,40.770513,-73.988038,15,130.31013812874642,1,year_month
nyc,7026.08,Newtown Ave & 23 St,2025,5,2917,1470,1447,2917,40.7713615,-73.9246145,10,342.81796366129583,1,year_month
nyc,7028.04,3 Ave & E 72 St,2025,5,6691,3350,3341,6691,40.76994260000001,-73.96060712,19,283.96353310416976,1,year_month
nyc,7032.02,76 St & 21 Ave,2025,5,600,302,298,600,40.77028,-73.893675,6,1000.0,1,year_month
nyc,7032.06,Hazen St & 20 Ave,2025,5,495,247,248,495,40.772092,-73.895166,6,1212.121212121212,1,year_month
nyc,7034.09,30 Ave & 12 St,2025,5,1059,540,519,1059,40.77171710520828,-73.93159255385399,4,377.7148253068933,1,year_month
nyc,7039.03,Ditmars Blvd & 43 St,2025,5,2003,999,1004,2003,40.77120299999999,-73.903865,13,649.0264603095357,1,year_month
nyc,7047.07,35 St & 23 Ave,2025,5,1315,652,663,1315,40.77301508291382,-73.91119033098221,11,836.5019011406844,1,year_month
nyc,7049.04,E 82 St & East End Ave,2025,5,5617,2814,2803,5617,40.7724607,-73.9468208,12,213.63717286807903,1,year_month
nyc,7052.01,W 63 St & Broadway,2025,5,11486,5749,5737,11486,40.77163851,-73.98261428,15,130.5937663242208,1,year_month
nyc,7057.07,E 78 St & 2 Ave,2025,5,5669,2841,2828,5669,40.7727966,-73.95577801,18,317.51631681072496,1,year_month
nyc,7059.01,11 Ave & W 59 St,2025,5,10263,5121,5142,10263,40.77149671054441,-73.99046033620834,13,126.66861541459612,1,year_month
nyc,7059.08,West End Ave & W 60 St,2025,5,18799,9393,9406,18799,40.77237,-73.99005,12,63.83318261609661,1,year_month
nyc,7060.02,21 Ave & 80 St,2025,5,407,208,199,407,40.770888,-73.889914,6,1474.2014742014742,1,year_month
nyc,7062.07,18 St & 27 Ave,2025,5,2123,1061,1062,2123,40.772768286288304,-73.92743647098541,7,329.7220913801225,1,year_month
nyc,7066.01,20 Ave & 48 St,2025,5,716,360,356,716,40.772899,-73.896849,6,837.9888268156425,1,year_month
nyc,7068.07,8 St & Astoria Blvd,2025,5,1591,800,791,1591,40.7725996921817,-73.93266275525093,2,125.7071024512885,1,year_month
nyc,7074.01,Steinway St & Ditmars Blvd,2025,5,1197,605,592,1197,40.772717,-73.906127,8,668.3375104427736,1,year_month
nyc,7079.06,Central Park W & W 68 St,2025,5,17001,8563,8438,17001,40.7734066,-73.97782542,14,82.34809717075466,1,year_month
nyc,7082.08,23 Ave & 31 St,2025,5,2883,1445,1438,2883,40.77423301703027,-73.91274864321404,5,173.43045438779052,1,year_month
nyc,7082.14,23 Rd & 31 St,2025,5,724,366,358,724,40.77336750284339,-73.91382560133934,17,2348.0662983425414,1,year_month
nyc,7084.12,E 81 St & York Ave,2025,5,7677,3836,3841,7677,40.772838400000005,-73.94989233,18,234.46658851113713,1,year_month
nyc,7092.06,E 77 St & 3 Ave,2025,5,9295,4631,4664,9295,40.77314236,-73.95856158,20,215.1694459386767,1,year_month
nyc,7098.05,27 Ave & 9 St,2025,5,1813,923,890,1813,40.7739825,-73.9309134,4,220.6287920573635,1,year_month
nyc,7100.07,5 Ave & E 72 St,2025,5,16502,8262,8240,16502,40.77282817,-73.96685276,6,36.359229184341295,1,year_month
nyc,7111.1,36 St & Ditmars Blvd,2025,5,524,83,441,524,40.774306,-73.908335,8,1526.7175572519084,1,year_month
nyc,7111.10,36 St & Ditmars Blvd,2025,5,1997,1168,829,1997,40.774306,-73.908335,8,400.600901352028,1,year_month
nyc,7113.08,East End Ave & E 86 St,2025,5,4106,2046,2060,4106,40.77518615,-73.94446054,8,194.8368241597662,1,year_month
nyc,7116.04,W 67 St & Broadway,2025,5,14314,7199,7115,14314,40.77492513,-73.98266566,12,83.83400866284755,1,year_month
nyc,7119.04,24 Ave & 29 St,2025,5,1991,984,1007,1991,40.77289999999999,-73.916142,19,954.2943244600702,1,year_month
nyc,7121.02,E 80 St & 2 Ave,2025,5,7842,3919,3923,7842,40.77391390238118,-73.9543953537941,17,216.78143330782964,1,year_month
nyc,7123.04,W 64 St & Thelonious Monk Circle,2025,5,12055,6056,5999,12055,40.77515953434235,-73.98918695747852,7,58.06719203649938,1,year_month
nyc,7126.01,21 St & Hoyt Ave S,2025,5,3476,1738,1738,3476,40.774645,-73.923706,7,201.38089758342926,1,year_month
nyc,7128.08,E 76 St & Park Ave,2025,5,7992,3987,4005,7992,40.773763,-73.96222088,12,150.15015015015015,1,year_month
nyc,7132.08,27 Ave & 3 St,2025,5,1213,606,607,1213,40.77485,-73.9342,0,0.0,1,year_month
