mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
jc,3481,York St,13610,6752,6858,13610,40.71649,-74.04105,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3483,Montgomery St,16285,8157,8128,16285,40.71942,-74.05099,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3638,Washington St,36913,18271,18642,36913,40.7242941,-74.0354826,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3639,Harborside,60297,30148,30149,60297,40.7192517,-74.034234,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3640,Journal Square,19796,10568,9228,19796,40.73367,-74.0625,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3677,Glenwood Ave,7533,4123,3410,7533,40.72755146730012,-74.07106071710587,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3678,Fairmount Ave,11960,6648,5312,11960,40.72572613742557,-74.07195925712585,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3679,Bergen Ave,12933,6688,6245,12933,40.722103786686034,-74.07145500183105,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3681,Grand St,22398,11180,11218,22398,40.71517767732029,-74.03768330812454,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3791,Hoboken Ave at Monmouth St,11129,5429,5700,11129,40.73520838045357,-74.04696375131607,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3792,Columbus Dr at Exchange Pl,44988,21125,23863,44988,40.71687,-74.03281,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,HB101,Hoboken Terminal - Hudson St & Hudson Pl,107005,53057,53948,107005,40.735935552976635,-74.03031622702115,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB102,Hoboken Terminal - River St & Hudson Pl,121830,60305,61525,121830,40.73607661607275,-74.02914031141226,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,96084,48184,47900,96084,40.73699364177384,-74.02778377108882,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB105,City Hall - Washington St & 1 St,85411,42485,42926,85411,40.73734371474922,-74.03098566038584,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB106,River St & Newark St,43486,21373,22113,43486,40.73672227316332,-74.02900660353771,2025,2025,1,7,lifetime_aggregate,0,0.0,0
